# label	layer
# L0 foundations: universal algebra, clones, pure relation combinatorics
prop:p-divides	0
cor:Zp-in-Vn	0
lem:sg-terms	0
lem:rect-basics	0
lem:linked-basics	0
lem:special-wnu	0
lem:hobby-mckenzie	0
lem:no-unary-quotient	0
lem:multiset-shift	0
lem:full-fibre	0
lem:subuniverse-coset	0
thm:galois	0
# L1 absorption: BA / central / S, no irreducible-congruence content
lem:central-ternary	1
lem:sfree-equiv	1
thm:brady-absorption	1
lem:linked-implies-abs	1
lem:barto-kazda	1
lem:pp-propagation	1
lem:ba-center-intersect	1
lem:factor-type	1
lem:power-to-base	1
thm:central-relation-source	1
lem:central-relation	1
lem:bacon-left	1
lem:no-absorbing-diagonal	1
lem:absorb-linked-sub	1
lem:possible-intersections	1
lem:ba-central-meets	1
lem:no-central-critical	1
cor:no-central-critical	1
lem:tot-sym-full	1
lem:ba-center-implies	1
lem:common-binary-witness	1
# L2 irreducible congruences and bridges
prop:cover	2
lem:irred-quotient	2
lem:bridge-comp	2
lem:symmetrise	2
lem:bridge-reflexive	2
lem:rectangularise	2
lem:linear-bridge	2
lem:linear-equiv	2
lem:no-cross-bridge	2
lem:pc-bridges-trivial	2
lem:bridge-to-pc	2
lem:linear-on-top	2
lem:pc-on-top	2
lem:absorbing-equality	2
lem:building-perfect	2
lem:perfect-from-linked	2
lem:nice-bridge-abelian	2
lem:bridge-abelian	2
lem:pc-inductive-step	2
lem:bridge-between-congruences	2
lem:block-good-bridge	2
lem:nontrivial-bridge	2
lem:no-abs-in-linear	2
lem:bridge-from-relation	2
# L3 strong subuniverses: the six types, lll, propagation, intersections
lem:reverse-hom	3
lem:propagation	3
cor:prop-quotient	3
cor:prop-from-factor	3
cor:prop-times-cong	3
cor:prop-relations	3
lem:preserve-linked	3
lem:preserve-linked-anchored	3
lem:anchored-intersection	3
lem:typed-above	3
lem:intersect-all	3
cor:intersect-all-weak	3
thm:stable-intersection	3
cor:stable-intersection	3
lem:multitype-chain	3
lem:maximal-mult	3
lem:ubiquity	3
lem:strong-nonempty	3
lem:tot-sym-irred	3
lem:self-intersection-pc	3
lem:intersection-good	3
cor:intersection-good	3
lem:parallelogram-D	3
lem:two-stable	3
lem:cut-or-nothing	3
lem:main-existence	3
lem:leftlinked-stay-full	3
lem:factor-by-delta	3
lem:center-pushed-in	3
lem:multiply-all-linear	3
# L4 instances: consistency, coverings, cruciality, weakening
prop:covering-basics	4
lem:conone-basics	4
lem:weakening-terminates	4
rem:get-crucial	4
lem:expanded-consistency	4
lem:tree-coverings	4
lem:minimal-consistent	4
lem:crucial-irreducible	4
lem:crucial-split-free	4
lem:connected	4
lem:find-consistent	4
lem:parallelogram-crucial	4
lem:bridge-from-instance	4
cor:same-type	4
# L5 the main statements
thm:main-inductive	5
thm:reductions-safe	5
thm:pc-safe	5
thm:codim-one	5
constr:omega	5
# L6 algorithm correctness, hard half, assembly (no cost model)
lem:solve-terminates	6
thm:t1	6
lem:nae-interp	6
thm:h0	6
lem:wnu-descends	6
thm:core-reduction	6
# L7 complexity wrappers and the final theorem
thm:t2	7
thm:h1	7
thm:np-membership	7
thm:dichotomy-core	7
thm:dichotomy	7
